name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,left_knee_angle,left_hip_angle
0,171.4912967,169.9506514,161.6958632,180.2441567,77.76353192
0,158.5594409,162.6145226,170.4571192,175.7298884,78.284543
0,168.009165,162.8240964,184.8156243,167.3092095,79.09968185
0,167.1482206,165.4950741,171.6090689,187.5138099,80.76385983
0,167.891482,172.4312155,170.7538873,181.2240825,66.80140949
0,171.4163785,171.7506558,172.8310788,173.10701,81.71380282
0,170.3112134,163.7940013,167.6482127,181.2765749,97.72661762
0,164.0785923,161.2923785,172.6942405,177.9659327,75.5297059
0,176.5402506,170.7504914,177.2279242,181.5562948,73.28292459
0,165.0685828,161.1583845,182.5448044,183.1603616,72.98490152
0,174.1060159,169.9633373,175.1233532,182.8610579,75.72404308
0,154.5645784,151.0677703,170.1668365,172.6798353,90.12070722
0,175.981691,169.9393102,183.5763344,177.4362298,81.25383774
0,164.9816394,167.6491289,172.1644749,180.4220607,102.2342305
0,181.6180945,179.6688142,169.5808922,163.1879531,87.68042637
0,171.5401779,171.4692344,174.5197615,173.0862114,90.44645158
0,165.2489367,165.5679371,168.8404498,176.6890585,94.48307014
0,164.0830035,154.833925,178.5935198,182.5342873,76.16208202
0,167.4392667,169.6079454,164.0924481,178.0908476,84.57477363
0,163.8292733,159.7380919,187.3184517,174.4783801,63.17074882
0,180.4006633,174.9430862,170.8821372,175.4775459,79.67782793
0,169.5144103,165.2818765,171.3922878,179.9131883,76.64520156
0,173.9493351,167.8036203,173.8086583,178.6214906,86.80014039
0,164.2913622,175.9700476,151.4388529,179.4549912,102.3409534
0,170.5489676,165.1448453,181.2952412,169.0620005,90.14220494
0,172.6942405,160.2630985,172.8749837,187.186328,84.74425942
0,163.4615695,159.0512409,172.3718503,178.78205,86.56088022
0,171.0273734,169.8949636,163.5558142,181.3288344,86.4151462
0,167.9052429,165.7354877,189.0193224,169.3469783,64.15926768
0,169.57014,168.5556232,192.3011903,181.7189122,65.50051658
0,161.8915193,166.2392149,175.3955128,177.9159786,75.53993973
0,178.5311993,174.2938702,173.1572266,181.2211338,85.83923256
0,173.3087356,165.6997226,177.9506599,180.751377,99.18883608
0,159.5098644,159.19051,195.1375029,176.6058736,82.71747178
0,161.4381348,160.5061001,179.7128535,177.5154944,80.59336579
0,165.4539513,149.6543803,160.6123888,187.6741413,98.56357748
0,181.3245219,172.4053566,186.2335841,179.9483357,68.40148276
0,170.4068657,175.6012946,165.8188876,179.1001403,94.342075
0,169.9853859,165.1413856,196.9387575,170.8937725,65.76096487
0,173.990994,183.3363367,169.2273524,176.4677054,85.956849
0,175.3645366,172.7584043,182.8912696,174.5752975,75.17940823
0,171.156709,169.4839536,187.042813,183.1237272,74.4558429
0,166.5815683,170.5594384,182.4787292,174.7099188,74.23733599
0,172.5765708,172.1959014,160.1666945,177.8360479,70.02773437
0,166.2652223,166.0475222,168.3106308,181.4092364,78.23171107
0,171.0273734,164.2416263,188.8462623,180.5771358,89.06790221
0,162.9466852,172.1950121,160.1966001,184.8990925,94.19118447
0,178.0585136,180.5968095,158.8387402,171.8042041,85.43564717
0,170.0010247,158.1104432,181.1084358,175.8760924,73.70361515
0,165.4962583,170.3112134,160.5182348,182.4962234,82.68844517
0,172.8664154,169.6322718,186.9965204,174.8464441,72.20019194
0,168.0661427,163.505109,186.9511227,174.584569,76.80231501
0,162.4075754,173.5162272,170.5376778,179.3902842,80.88213725
0,161.5650512,162.1496817,184.9828048,178.3908392,72.66096461
0,173.4308332,156.4972359,194.5086142,173.2798941,76.893314
0,164.8963408,159.3792504,169.3677759,176.4923168,84.66522185
0,162.9837796,159.0622806,159.827165,177.8527301,88.98528538
0,172.4108516,172.9084704,164.0257252,184.9972546,80.94600749
0,169.2054579,166.5347919,175.3013195,178.8839896,87.35745471
0,177,175,178,168,77
0,166,181,172,170,66
0,158,180,168,163,69
0,156,160,157,167,69
0,161,165,159,167,89
0,179,180,166,163,99
0,167,158,172,170,99
0,174,175,155,182,65
0,167,169,160,166,69
0,168,178,190,165,98
0,180,162,158,171,67
0,156,151,180,163,77
0,169,152,181,170,88
0,172,153,164,169,66
0,163,149,181,167,90
0,172,149,152,178,92
0,177,180,194,172,97
0,154,174,178,181,98
0,155,182,175,167,100
0,165,152,158,171,83
0,161,167,155,166,82
0,176,166,174,165,83
0,167,180,156,172,72
0,174,163,157,170,101
0,177,160,175,176,96
0,167,174,176,176,95
0,157,158,153,179,101
0,173,154,191,176,77
0,167,161,176,185,78
0,161,153,171,185,99
0,180,156,163,166,65
0,178,150,161,176,76
0,176,169,159,170,63
0,155,180,183,170,79
0,160,181,157,167,86
0,170,163,154,168,64
0,156,151,180,181,66
0,175,177,181,186,97
